Topic,Problem,Pattern,Core Idea,Date Solved,Confidence (1-5),Last Reviewed,Next Review,Review Count,Notes/Tricky Part,Link
Stack,Daily Temperatures,Monotonic Decreasing Stack,"Stack stores indices; while current temp > temp at stack top, pop and calc distance, then push current index",2026-07-10,3,2026-07-23,2026-07-24,0,Store indices not values (need index for distance),
Linked List,Middle Linked list,Slow and fast pointer,"Take a slow and faster pointer, move slow by one and fast by two , after faster has reached null or next is null , we hae found the slow because there relative speed is 1, so slow is at middle ",2026-07-22,3,2027-07-04,2027-08-11,4,Slow and fast pointer,
Linked List,Reorder Lists,"Multiple patterns : Middle element , Splitting , Reversing and Merging",This problem comprimeses of multipe pattersn from previous Linked list questions,2026-07-22,2,2027-07-04,2027-08-11,4,,
Linked List,Linked List cycle,Slow and fast pointer,"If slow and faster pointer meets , means it has an cycle , as the relative speed of slow and faster pointer is 1 , so they will evenyaully meet",2027-07-21,2,2027-07-04,2027-08-11,4,,
Linked List,Merge two sorted lists,Two pointers on two separate lists and dummy node,"take two pointers on both list such as list1 and list2 and compare the values , and change the links of the nodes",2027-07-21,2,2027-07-04,2027-08-11,4,,
Linked List,Reverse Linked List,Prev and next pointers,Store the value of next pointer in next and move prev forward and then use the stored value to change the value if current,2027-07-20,3,2027-07-04,2027-08-11,4,We have to return prev,
Linked List,Remove nth node from the list,Stores nodes in array : Unoptimized,"Unoptimized : Store nodes in array , then remove skip the link from the nth node to the next node",2027-07-23,2,,,,,
Stack,Valid Parenthesis,"Stack , compare the value of the popped ","Take a map with all the pairs , if we found an opening bracket , pop the stack and find the for the closed value which was pushed before",2027-07-10,3,2027-07-06,2027-08-16,4,,
Stack,Next greater element 1,Hashmap and Stack (Monotonic stack),"Store the next greater value in the map , to find the next greater element , pop the last element of the array",2027-07-11,2,2027-08-04,2027-08-11,4,,
Linked List,IsPalindrome,"Find the middle of the linked list , reverse and compare","Find the middle of the element , reverse the right part of splitted linked list , and just compare the values , if all values matches, it should return and else false",2027-07-24,3,,,,,
Binary Search,Search 2d matrix,"Get the corresponding rows from the index ",Get the corresponding rows and column from the mid index and then simply map it to the matrix,2027-07-15,4,2027-08-10,2027-08-20,4,"The condtion is left < right , and right = mid, because it can itself be min element",
Binary Search,Find minimum rotated sorted array,Find the minimum element by comparing with the right most element,Find the minimum element by comparing with the right most element,2027-07-16,3,2027-08-10,2027-08-20,4,,
Binary Search,Search in rotated sorted array,"Find the mimumum index , split the two sorted lists then find the correct split and then apply normal binary search","Find the mimumum index , split the two sorted lists then find the correct split and then apply normal binary search",2027-07-16,3,2027-08-10,2027-08-20,4,,
Binary Search,Koko eating bananas,Find the correct range by minimum and maximum and use binary search,Find the correct range by minimum and maximum and use binary search,2027-07-17,3,2027-08-10,2027-08-20,4,,
Stack,Car fleet,Monotonic stack and sorting,"First map the postion and speed , and then sort by positions",2027-07-25,2,2027-08-10,2027-08-20,4,"It will be not while loop , it should be if statement ",
Stack,Asteroid collision,Compare the top of the stack with incoming asteroid,Compare the top of the stack with incoming asteroid,2027-07-25,3,2027-08-10,2027-08-20,4,,
Stack,Remove adjeacent duplicates,Pop and comparing with the latest element,Pop and comparing with the latest element,2027-07-25,5,2027-08-10,2027-08-20,5,,
Linked List,Odd and even linked list,take odd and even pointers and move them accordinly,"take odd and even pointers and move them accordingly , NOTE : we was stuck at evenHead , evenHead was there to store the even list such that we can attach to the of the odd list in the end ",2027-07-26,3,2027-08-03,2027-08-11,3,,
Arrays and Hashing,Contains Duplicate,"Take a map , if the map has already its value return true , else return false when loop ends","Take a map , if the map has already its value return true , else return false when loop ends",2027-07,5,2027-08-03,2027-08-11,3,,
Arrays and Hashing,Group anagrams,Map and sorting,"Take a map , sort each traversed string , if the map has string , get the index , if map does not have a string , push it to the map with the sorted string along with the next index which will be map.size()",2027-07,3,2027-08-03,2027-08-11,3,,
Arrays and Hashing,Valid anagram,Map,"take a map , iterate over the first string and set all the values and map , and then compare the values by iterating ovet the secon string ",2027-07,3,2027-08-03,2027-08-11,2,,
Arrays and Hashing,"Two sum ",Map and counter sum,"Take a map , and save the counter sums ,if we found , it is correct",2027-07,2,2027-08-03,2027-08-11,2,,
Arrays and Hashing,Top k frequent,"Map ",Store the values in map and then just sort the fucking array,2027-07,2,2027-08-03,2027-08-11,2,,
Linked List,Add two numbers,Two pointer and a carry variable and a dummy node,"Take two pointers p1 and p2 , if p1 || p2 || carry -> do the sum -> check the carry -> make new node -> move forward",2027-08-01,3,2027-08-04,2027-08-08,2,,
Two Pointers,Container with most water,"Take two pointer at both ends , and move it smallest pointer to get max area","Take two pointer at both ends , and move it smallest pointer to get max area",2027-07,4,2027-08-07,2027-08-14,3,,
Two Pointers,Move Zeroes,"If we find non zero element , move the left pointer ahead, at end just run a simple for loop to add zeroes to the end","If we find non zero element , move the left pointer ahead, at end just run a simple for loop to add zeroes to the end",2027-07,4,2027-08-07,2027-08-14,3,,
Two Pointers,Squares of sorted array,"Take two pointers at two ends and make a new array with null values and a mid pointers, start filling the last values from end of the array ","Take two pointers at two ends and make a new array with null values and a mid pointers, start filling the last values from end of the array ",2027-08-03,2,2027-08-09,2027-08-16,3,,
Two Pointers,Two sum - sorted,Normal two pointer approach,Normal two pointer approach,2027-07,5,2027-08-04,2027-08-14,3,,
Two Pointers,Valid palindrome,"Take two pointers at end, if all the values matched , return true else return false if even one did not match ","Take two pointers at end, if all the values matched , return true else return false if even one did not match ",2027-07,3,2027-08-07,2027-08-14,3,,
Linked List,Sort List,"Recursive merge sort approach , base condition beceomes when !head or !head.next is null","Recursive merge sort approach , base condition beceomes when !head or !head.next is null",2027-08-05,2,2027-08-07,2027-08-11,2,,
Recursion basic,Climbing Stairs,Recursion with base condition as n<=2 return n,Recursion with base condition as n<=2 return n,2027-08-05,2,2027-08-07,2027-08-11,2,,
Recursion basic,Reverse string,Two pointer approach with recursion,Two pointer approach with recursion,2027-08-05,2,2027-08-07,2027-08-11,2,,
"Trees ",Traveral - preorder,push result -> recurse left -> recurse right,push result -> recurse left -> recurse right,2027-08-06,4,2027-08-08,2027-08-12,2,,
"Trees ",Traveral - inorder,recurse left -> push result -> recurse right,recurse left -> push result -> recurse right,2027-08-06,4,2027-08-08,2027-08-12,1,,
"Trees ",Traveral - postorder,recurse left -> recurse right -> push result,recurse left -> recurse right -> push result,2027-08-06,4,2027-08-08,2027-08-12,1,,
Trees,Invert binary tree,recurse left -> recurse -> save the left node in temp -> swap nodes (invert),recurse left -> recurse -> save the left node in temp -> swap nodes (invert),2027-08-06,3,2027-08-09,2027-08-13,2,,
Trees,Maximum depth of tree,"Take currDepth variable , and check for the maximum","Take currDepth variable , and check for the maximum",2027-08-07,2,2027-08-10,2027-08-14,2,,
Trees,Diameter of the tree,Check for maximum diameter by comparing maximum diameter and left + right,Check for maximum diameter by comparing maximum diameter and left + right,2027-08-07,2,2027-08-10,2027-08-14,2,,
Trees,Height Balanced tree,Same concept but just check if Math.abs(left - right) > 1 -> return false,Same concept but just check if Math.abs(left - right) > 1 -> return false,2027-08-08,2,2027-08-10,2027-08-14,2,"Remember the Math.max(left,right)",
Trees,Same tree,"if both are null return true , if value return true , if one is null and other one is not return false","if both are null return true , if value return true , if one is null and other one is not return false",2027-08-08,2,2027-08-10,2027-08-14,2,,
Trees,Subtree of another tree,"uses concept of same tree , check if same tree exists in root.left or root.right","uses concept of same tree , check if same tree exists in root.left or root.right",2027-08-09,2,2027-08-09,2027-08-11,1,,
Trees,symmetric tree,"uses concept of same tree also and invert tree , 2nd optimal method : mirror function similar to same tree","uses concept of same tree also and invert tree , 2nd optimal method : mirror function similar to same tree",2027-08-09,2,2027-08-09,2027-08-11,1,,
Trees,path sum,"check for sum in root.left or root.right , take sum before recurse , and check the sum at leaf nodes","check for sum in root.left or root.right , take sum before recurse , and check the sum at leaf nodes",2027-08-09,2,2027-08-09,2027-08-11,1,,
